;Hours,Direction_1,Direction_2
1,0.009363032,0.01386327
2,0.006322782,0.008825841
3,0.005916374,0.008073121
4,0.006103947,0.007585095
5,0.011692067,0.008933372
6,0.032872216,0.014243765
7,0.077014459,0.026088755
8,0.103024619,0.040812275
9,0.07950762,0.044675131
10,0.060406409,0.04350883
11,0.05335678,0.044029943
12,0.054560375,0.049538856
13,0.053786635,0.052450474
14,0.055857757,0.052045163
15,0.056779992,0.057686422
16,0.057217663,0.068547086
17,0.057678781,0.087687663
18,0.058561938,0.107448612
19,0.043024619,0.088622358
20,0.031918718,0.052913685
21,0.028518953,0.040820547
22,0.024915983,0.034782249
23,0.018976163,0.026824931
24,0.012622118,0.019992556
