A,B,NB
17596,20093,1
17596,3531,1
20093,20103,1
20103,21128,1
3531,17598,1
17598,2495,1
21128,21126,1
2495,7823,1
21126,20098,1
20098,20096,1
7823,17612,1
17612,17618,1
17618,7825,1
20096,21124,1
7825,17631,1
21124,21519,1
17631,17627,1
21519,21111,1
17627,17628,1
21111,20104,1
17628,3532,1
20104,20105,1
3532,9138,1
20105,20126,1
9138,17626,1
20126,20046,1
17626,9134,1
20046,20040,1
9134,17624,1
20040,20032,1
17624,8256,1
20032,20049,1
8256,8257,1
20049,21071,1
8257,21356,1
21202,21354,1
21354,21356,1
21356,21357,1
21357,8258,1
8258,21206,1
21206,21207,1
21207,8267,1
8267,8268,1
