;Hours,Direction_1,Direction_2
1,0.012216994,0.007554064
2,0.007993959,0.006093387
3,0.006130854,0.006204263
4,0.005961933,0.009019562
5,0.008113197,0.016641117
6,0.014795531,0.036704943
7,0.032691266,0.07974913
8,0.046274537,0.10938208
9,0.047586162,0.100637299
10,0.041410593,0.064742236
11,0.041251608,0.051384028
12,0.043383,0.048563908
13,0.047919037,0.046216219
14,0.049156138,0.048289127
15,0.059475251,0.047831159
16,0.077972148,0.054305383
17,0.096523696,0.057250841
18,0.107702321,0.06120383
19,0.08679084,0.046973071
20,0.050984464,0.031464823
21,0.037540305,0.023896297
22,0.033267586,0.019629962
23,0.025974155,0.015243109
24,0.018884423,0.01102016
