;Hours,Direction_1,Direction_2
1,0.010077318,0.014815651
2,0.007037068,0.009778222
3,0.00663066,0.009025502
4,0.006818233,0.008537476
5,0.012406353,0.009885753
6,0.033586502,0.015196146
7,0.072014459,0.027041136
8,0.098024619,0.041764656
9,0.07450762,0.045627512
10,0.061120695,0.044461211
11,0.054071066,0.044982324
12,0.055274661,0.050491237
13,0.054500921,0.053402855
14,0.056572043,0.052997544
15,0.057494278,0.058638803
16,0.057931949,0.063547086
17,0.058393067,0.082687663
18,0.059276224,0.102448612
19,0.043738905,0.089574739
20,0.032633004,0.053866066
21,0.029233239,0.041772928
22,0.025630269,0.03573463
23,0.019690449,0.027777312
24,0.013336404,0.020944937
