SEGMENT: 1,SCENARIO:  HEFT-W of 57th,

HR,LANE VOLUME,LANE VOLUME,LANE VOLUME,LANE VOLUME,SHARE %,SHARE %,VC RATIO,VC RATIO,VC RATIO,VC RATIO,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,CONGESTED SPEED,TOLL,TOLL
FACILITY,GU,GU,XL,XL,CORRIDOR,XL,XL,GU,GU,XL,XL,GU,GU,XL,XL,XL,XL
DIRECTION,NB,SB,NB,SB,TOTAL,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB,NB,SB
  1:   ,    310,    314,      4,      6,    633,  100.0,    1.7,   0.05,   0.05,   0.00,   0.00,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  2:   ,    158,    183,      2,      3,    346,  100.0,    1.7,   0.03,   0.03,   0.00,   0.00,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  3:   ,    119,    133,      1,      2,    256,  100.0,    1.7,   0.02,   0.02,   0.00,   0.00,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  4:   ,    165,    170,      2,      3,    340,  100.0,    1.7,   0.03,   0.03,   0.00,   0.00,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  5:   ,    341,    254,      4,      4,    604,  100.0,    1.7,   0.06,   0.04,   0.00,   0.00,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  6:   ,    917,    661,     11,     12,   1601,  100.0,    1.7,   0.15,   0.11,   0.01,   0.01,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  7:   ,   2410,   2282,     35,     49,   4776,  100.0,    2.1,   0.40,   0.38,   0.02,   0.03,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
  8:   ,   2927,   3262,    193,    317,   6700,  100.0,    8.9,   0.49,   0.55,   0.10,   0.17,   65.0,   64.9,   70.0,   70.0,   0.19,   0.19
  9:   ,   3069,   3497,    223,    392,   7181,  100.0,   10.1,   0.52,   0.59,   0.12,   0.21,   65.0,   64.9,   70.0,   70.0,   0.19,   0.19
 10:   ,   2361,   2680,     97,    181,   5320,  100.0,    6.3,   0.40,   0.45,   0.05,   0.10,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
 11:   ,   2102,   2490,     55,    118,   4764,  100.0,    4.5,   0.35,   0.42,   0.03,   0.06,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
 12:   ,   2035,   2049,     52,     78,   4215,  100.0,    3.7,   0.34,   0.34,   0.03,   0.04,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
 13:   ,   2111,   2075,     55,     80,   4321,  100.0,    3.7,   0.35,   0.35,   0.03,   0.04,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
 14:   ,   2227,   2164,     59,     87,   4537,  100.0,    3.8,   0.37,   0.36,   0.03,   0.05,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
 15:   ,   2494,   2292,     75,     97,   4958,  100.0,    4.1,   0.42,   0.38,   0.04,   0.05,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
 16:   ,   2874,   2741,    186,    246,   6048,  100.0,    8.3,   0.48,   0.46,   0.10,   0.13,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
 17:   ,   3189,   2755,    217,    288,   6450,  100.0,    9.5,   0.54,   0.46,   0.12,   0.16,   65.0,   65.0,   70.0,   70.0,   0.19,   0.19
