  A,  B,  Dir1, Dir2, Dir3, Dir4, FTYPE, Comments: WB=1 EB=2 SB=3 NB=4
110,18469,1,0,0,0,91,
121,92122,1,0,0,0,91,
122,21619,0,1,0,0,91,
123,92103,0,0,0,1,91,
124,92038,0,0,1,0,91,
14131,19890,1,0,0,0,91,
14135,19285,0,0,0,1,96,
18469,19282,1,0,0,0,91,
18472,111,0,1,0,0,91,
19282,19500,1,0,0,0,91,
19283,18472,0,1,0,0,91,
19284,14131,1,0,0,0,91,
19285,19501,0,1,0,0,91,
19286,21908,1,0,0,0,91,
19287,19891,0,1,0,0,91,
19500,19284,1,0,0,0,91,
19501,19283,0,1,0,0,91,
19502,19504,1,0,0,0,96,
19504,19506,1,0,0,0,96,
19505,19503,0,1,0,0,96,
19506,19508,1,0,0,0,96,
19507,19505,0,1,0,0,96,
19508,19510,1,0,0,0,96,
19509,19507,0,1,0,0,96,
19510,19512,1,0,0,0,96,
19511,19509,0,1,0,0,96,
19512,19514,1,0,0,0,96,
19513,19511,0,1,0,0,96,
19514,92000,1,0,0,0,96,
19515,19513,0,1,0,0,96,
19890,19286,1,0,0,0,91,
19891,14135,0,1,0,0,91,
21489,26229,1,0,0,0,91,
21494,23750,0,1,0,0,91,
21499,23749,1,0,0,0,91,
21529,21499,0,0,1,0,91,
21534,92130,0,0,0,1,91,
21539,23789,0,0,1,0,91,
21549,93054,0,0,1,0,91,
21554,93012,0,1,0,0,91,
21564,93014,1,0,0,0,91,
21584,27665,0,0,1,0,91,
21599,21645,0,0,0,1,91,
21614,121,1,0,0,0,91,
21619,27185,0,1,0,0,91,
21624,26085,0,0,0,1,91,
21629,27184,1,0,0,0,91,
21634,27940,0,0,1,0,91,
21644,21634,0,0,1,0,91,
21645,93026,0,0,0,1,91,
21648,93025,0,0,1,0,91,
21654,93027,0,0,0,1,91,
21674,92039,0,0,0,1,91,
21706,93028,0,0,1,0,91,
21714,92101,0,0,1,0,91,
21744,93040,0,0,1,0,91,
21754,93045,0,0,1,0,91,
21763,93011,0,0,1,0,91,
21766,27672,0,0,1,0,91,
21767,23922,0,0,1,0,91,
21769,27677,0,0,1,0,91,
21774,21769,0,0,1,0,91,
21784,27690,0,0,1,0,91,
21788,21784,0,0,1,0,91,
21803,22446,0,0,0,1,91,
21804,24644,0,0,1,0,91,
21805,21900,0,0,1,0,91,
21814,21824,0,0,1,0,91,
21824,27196,0,0,1,0,91,
21834,27211,0,0,1,0,91,
21873,26948,0,0,1,0,91,
21874,26169,0,0,0,1,91,
21884,23728,0,0,1,0,91,
21900,21884,0,0,1,0,91,
21902,21805,0,0,1,0,91,
21904,21902,0,0,1,0,91,
21905,21904,0,0,1,0,91,
21906,27583,0,0,1,0,91,
21907,92096,1,0,0,0,91,
21908,26621,1,0,0,0,91,
21910,21907,1,0,0,0,91,
21931,27939,0,0,0,1,91,
21932,21931,0,0,0,1,91,
21933,21934,0,0,1,0,91,
21934,27942,0,0,1,0,91,
21943,21944,0,0,1,0,91,
21944,24624,0,0,1,0,91,
21945,25264,0,0,0,1,91,
21946,21945,0,0,0,1,91,
21979,19287,0,1,0,0,91,
22088,22091,0,1,0,0,91,
22091,92076,0,1,0,0,91,
22196,22088,0,1,0,0,91,
22338,27584,0,0,0,1,91,
22346,27552,0,0,0,1,91,
22445,22338,0,0,0,1,91,
22446,22445,0,0,0,1,91,
22447,21803,0,0,0,1,91,
22459,27588,0,0,1,0,91,
22684,22447,0,0,0,1,91,
22886,26069,0,0,0,1,91,
23723,22684,0,0,0,1,91,
23728,25314,0,0,1,0,91,
23749,21489,1,0,0,0,91,
23750,26220,0,1,0,0,91,
23770,21529,0,0,1,0,91,
23786,21539,0,0,1,0,91,
23787,21554,0,1,0,0,91,
23788,26162,0,0,0,1,91,
23789,23770,0,0,1,0,91,
23887,80135,0,0,0,1,91,
23888,92013,0,0,1,0,91,
23921,21767,0,0,1,0,91,
23922,25104,0,0,1,0,91,
23923,25209,0,0,0,1,91,
23924,25675,0,0,0,1,91,
23961,24382,0,0,0,1,91,
23964,27195,0,0,0,1,91,
23967,24634,0,0,0,1,91,
23973,25451,0,0,0,1,91,
24095,92066,0,0,0,1,91,
24382,26935,0,0,0,1,91,
24624,21788,0,0,1,0,91,
24634,21946,0,0,0,1,91,
24644,21943,0,0,1,0,91,
25104,21766,0,0,1,0,91,
25114,23924,0,0,0,1,91,
25200,23967,0,0,0,1,91,
25204,23921,0,0,1,0,91,
25209,27678,0,0,0,1,91,
25264,23964,0,0,0,1,91,
25314,26059,0,0,1,0,91,
25324,23723,0,0,0,1,91,
25451,27693,0,0,0,1,91,
25675,27674,0,0,0,1,91,
25778,27671,0,0,0,1,91,
25785,93008,0,0,0,1,91,
25861,93049,0,0,0,1,91,
25926,93035,0,0,0,1,91,
26059,26377,0,0,1,0,91,
26064,25324,0,0,0,1,91,
26067,85001,0,0,1,0,91,
26069,26379,0,0,0,1,91,
26079,26747,0,1,0,0,91,
26085,93021,0,0,0,1,91,
26123,92140,0,1,0,0,91,
26134,27591,0,0,0,1,91,
26137,26174,0,0,1,0,91,
26162,23787,0,0,0,1,91,
26169,26134,0,0,0,1,91,
26174,21873,0,0,1,0,91,
26220,21534,0,0,0,1,91,
26229,29402,1,0,0,0,91,
26239,26254,0,1,0,0,91,
26254,21494,0,1,0,0,91,
26375,26064,0,0,0,1,91,
26377,26378,0,0,1,0,91,
26378,26067,0,0,1,0,91,
26379,26375,0,0,0,1,91,
26621,92078,1,0,0,0,91,
26622,21979,0,1,0,0,91,
26739,26099,1,0,0,0,91,
26747,29403,0,1,0,0,91,
26935,21874,0,0,0,1,91,
26948,21814,0,0,1,0,91,
27184,21614,1,0,0,0,91,
27185,92117,0,1,0,0,91,
27195,23961,0,0,0,1,91,
