        A,         B,    NUM_LANES,    CAPACITY,    DISTANCE,    POSTSPD,    FTC2
         1,     12911,         1,     10000,      1.97,     12.50,         0
         1,     13251,         1,     10000,      1.26,     12.50,         0
         1,     13379,         1,     10000,      0.56,     12.50,         0
         2,     12943,         1,     10000,      0.60,     12.50,         0
         3,     13399,         1,     10000,      0.99,     12.50,         0
         4,     13251,         1,     10000,      0.23,     12.50,         0
         5,     13379,         1,     10000,      1.55,     12.50,         0
         5,     13491,         1,     10000,      1.34,     12.50,         0
         5,     13607,         1,     10000,      0.35,     12.50,         0
         6,     13515,         1,     10000,      0.79,     12.50,         0
         7,     13607,         1,     10000,      1.36,     12.50,         0
         7,     13775,         1,     10000,      0.76,     12.50,         0
         7,     13899,         1,     10000,      0.71,     12.50,         0
         8,     13899,         1,     10000,      1.29,     12.50,         0
         8,     13981,         1,     10000,      1.51,     12.50,         0
         8,     14041,         1,     10000,      0.68,     12.50,         0
         9,     14041,         1,     10000,      1.35,     12.50,         0
         9,     14183,         1,     10000,      0.44,     12.50,         0
         9,     14347,         1,     10000,      0.46,     12.50,         0
        10,     18741,         1,     10000,      0.05,     12.50,         0
        10,     18751,         1,     10000,      0.06,     12.50,         0
        11,     18863,         1,     10000,      0.06,     12.50,         0
        11,     18865,         1,     10000,      0.06,     12.50,         0
        12,     12517,         1,     10000,      0.05,     12.50,         0
        12,     12521,         1,     10000,      0.05,     12.50,         0
        13,     18205,         1,     10000,      0.74,     12.50,         0
        14,     12003,         1,     10000,      0.25,     12.50,         0
        15,     13901,         1,     10000,      0.20,     12.50,         0
        16,     14057,         1,     10000,      0.19,     12.50,         0
        16,     18201,         1,     10000,      0.21,     12.50,         0
        17,     14323,         1,     10000,      0.48,     12.50,         0
        17,     14449,         1,     10000,      0.56,     12.50,         0
        17,     14571,         1,     10000,      0.62,     12.50,         0
        18,     14575,         1,     10000,      0.34,     12.50,         0
        19,     14571,         1,     10000,      0.53,     12.50,         0
        19,     14705,         1,     10000,      0.49,     12.50,         0
        19,     19301,         1,     10000,      0.42,     12.50,         0
        20,     14709,         1,     10000,      0.63,     12.50,         0
        21,     12808,         1,     10000,      0.61,     12.50,         0
        21,     14705,         1,     10000,      0.72,     12.50,         0
        21,     14871,         1,     10000,      0.74,     12.50,         0
        22,     14875,         1,     10000,      0.48,     12.50,         0
        23,     14871,         1,     10000,      0.92,     12.50,         0
        23,     15282,         1,     10000,      0.97,     12.50,         0
        23,     19129,         1,     10000,      0.41,     12.50,         0
        24,     15137,         1,     10000,      1.06,     12.50,         0
        25,     15101,         1,     10000,      0.73,     12.50,         0
        26,     12793,         1,     10000,      0.66,     12.50,         0
        26,     15137,         1,     10000,      0.43,     12.50,         0
        26,     15282,         1,     10000,      0.69,     12.50,         0
        27,     15285,         1,     10000,      0.70,     12.50,         0
        28,     15419,         1,     10000,      0.22,     12.50,         0
        29,     12793,         1,     10000,      0.83,     12.50,         0
        29,     15347,         1,     10000,      0.45,     12.50,         0
        29,     15415,         1,     10000,      0.70,     12.50,         0
        30,     15565,         1,     10000,      0.52,     12.50,         0
        31,     14315,         1,     10000,      0.20,     12.50,         0
        31,     14383,         1,     10000,      0.99,     12.50,         0
        31,     18713,         1,     10000,      0.90,     12.50,         0
        32,     12873,         1,     10000,      0.56,     12.50,         0
        32,     13667,         1,     10000,      0.54,     12.50,         0
        33,     13347,         1,     10000,      0.49,     12.50,         0
