  A,  B,  Dir1, Dir2, Dir3, Dir4, Comments: 1=I595 EB & 2=I595 WB
  12073.00,  16907.00,      1.00,         0,         0,         0,         0
  12089.00,  16929.00,      1.00,         0,         0,         0,         0
  12097.00,  13832.00,         0,      1.00,         0,         0,         0
  12105.00,  16945.00,      1.00,         0,         0,         0,         0
  12141.00,  16983.00,         0,      1.00,         0,         0,         0
  12165.00,  17027.00,         0,      1.00,         0,         0,         0
  12169.00,  17021.00,      1.00,         0,         0,         0,         0
  12221.00,  12225.00,         0,      1.00,         0,         0,         0
  12225.00,  13541.00,         0,      1.00,         0,         0,         0
  12561.00,  21411.00,         0,         0,         0,      1.00,         0
  12565.00, 100344.00,         0,         0,      1.00,         0,         0
  12605.00, 100345.00,         0,         0,         0,      1.00,         0
  12609.00,  12617.00,         0,         0,      1.00,         0,         0
  12613.00,  12605.00,         0,         0,         0,      1.00,         0
  12617.00,  18473.00,         0,         0,      1.00,         0,         0
  12637.00,  18471.00,         0,         0,         0,      1.00,         0
  12950.00,  16991.00,         0,      1.00,         0,         0,         0
  12952.00,  16985.00,      1.00,         0,         0,         0,         0
  13040.00,  16780.00,      1.00,         0,         0,         0,         0
  13042.00,  16937.00,      1.00,         0,         0,         0,         0
  13044.00,  16913.00,      1.00,         0,         0,         0,         0
  13449.00, 100296.00,         0,      1.00,         0,         0,         0
  13453.00,  17053.00,      1.00,         0,         0,         0,         0
  13537.00,  17093.00,      1.00,         0,         0,         0,         0
  13541.00,  13577.00,         0,      1.00,         0,         0,         0
  13573.00,  13537.00,      1.00,         0,         0,         0,         0
  13577.00,  26206.00,         0,      1.00,         0,         0,         0
  13832.00,  13834.00,         0,      1.00,         0,         0,         0
  13834.00,  16955.00,         0,      1.00,         0,         0,         0
  13836.00,  12101.00,      1.00,         0,         0,         0,         0
  13838.00,  13836.00,      1.00,         0,         0,         0,         0
  14088.00,  17025.00,      1.00,         0,         0,         0,         0
  14092.00,  17039.00,         0,      1.00,         0,         0,         0
  15504.00,  15506.00,         0,      1.00,         0,         0,         0
  15506.00,  12165.00,         0,      1.00,         0,         0,         0
  16778.00,  13038.00,         0,      1.00,         0,         0,         0
  16780.00,  16973.00,      1.00,         0,         0,         0,         0
  16804.00,  16971.00,         0,      1.00,         0,         0,         0
  16907.00,  12069.00,         0,      1.00,         0,         0,         0
  16915.00,  16919.00,         0,      1.00,         0,         0,         0
  16917.00,  13044.00,      1.00,         0,         0,         0,         0
  16919.00,  16923.00,         0,      1.00,         0,         0,         0
  16923.00,  16931.00,         0,      1.00,         0,         0,         0
  16929.00,  16917.00,      1.00,         0,         0,         0,         0
  16931.00,  12085.00,         0,      1.00,         0,         0,         0
  16939.00,  16943.00,         0,      1.00,         0,         0,         0
  16941.00,  13042.00,      1.00,         0,         0,         0,         0
  16943.00,  16947.00,         0,      1.00,         0,         0,         0
  16945.00,  16941.00,      1.00,         0,         0,         0,         0
  16947.00,  12093.00,         0,      1.00,         0,         0,         0
  16953.00,  13838.00,      1.00,         0,         0,         0,         0
  16959.00,  16967.00,         0,      1.00,         0,         0,         0
  16965.00,  16957.00,      1.00,         0,         0,         0,         0
  16967.00,  16804.00,         0,      1.00,         0,         0,         0
  16969.00,  40255.00,      1.00,         0,         0,         0,         0
  16975.00,  16778.00,         0,      1.00,         0,         0,         0
  16981.00,  12145.00,      1.00,         0,         0,         0,         0
  16983.00,  40257.00,         0,      1.00,         0,         0,         0
  16985.00,  19348.00,      1.00,         0,         0,         0,         0
  16987.00,  12950.00,         0,      1.00,         0,         0,         0
  16989.00,  12952.00,      1.00,         0,         0,         0,         0
  16995.00,  16999.00,         0,      1.00,         0,         0,         0
  16997.00,  16993.00,      1.00,         0,         0,         0,         0
